GWH ID	Wu ID	IHSM SDB ID
GWHTABKE000097	Yangtao2018656	Aveca01vR1g00970.1
GWHTABKE000098	Yangtao2018655	Aveca01vR1g00980.1
GWHTABKE000099	Yangtao2018654	Aveca01vR1g00990.1
GWHTABKE000100	Yangtao2018653	Aveca01vR1g01000.1
GWHTABKE000101	Yangtao2018652	Aveca01vR1g01010.1
GWHTABKE000102	Yangtao2018651	Aveca01vR1g01020.1
GWHTABKE000103	Yangtao2018650	Aveca01vR1g01030.1
GWHTABKE000104	Yangtao2018649	Aveca01vR1g01040.1
GWHTABKE000105	Yangtao2018648	Aveca01vR1g01050.1
GWHTABKE000106	Yangtao2018647	Aveca01vR1g01060.1
GWHTABKE000107	Yangtao2018646	Aveca01vR1g01070.1
GWHTABKE000108	Yangtao2018645	Aveca01vR1g01080.1
GWHTABKE000109	Yangtao2018644	Aveca01vR1g01090.1
GWHTABKE000110	Yangtao2018643	Aveca01vR1g01100.1
GWHTABKE000111	Yangtao2018642	Aveca01vR1g01110.1
GWHTABKE000112	Yangtao2018641	Aveca01vR1g01120.1
GWHTABKE000113	Yangtao2018640	Aveca01vR1g01130.1
GWHTABKE000114	Yangtao2018639	Aveca01vR1g01140.1
GWHTABKE000115	Yangtao2018638	Aveca01vR1g01150.1
GWHTABKE000116	Yangtao2018637	Aveca01vR1g01160.1
GWHTABKE000117	Yangtao2018636	Aveca01vR1g01170.1
GWHTABKE000118	Yangtao2018634	Aveca01vR1g01180.1
GWHTABKE000119	Yangtao2018635	Aveca01vR1g01190.1
GWHTABKE000120	Yangtao2018633	Aveca01vR1g01200.1
GWHTABKE000121	Yangtao2018632	Aveca01vR1g01210.1
GWHTABKE000122	Yangtao2018631	Aveca01vR1g01220.1
GWHTABKE000123	Yangtao2018630	Aveca01vR1g01230.1
GWHTABKE000124	Yangtao2018629	Aveca01vR1g01240.1
GWHTABKE000125	Yangtao2018628	Aveca01vR1g01250.1
GWHTABKE000126	Yangtao2018627	Aveca01vR1g01260.1
GWHTABKE000127	Yangtao2018626	Aveca01vR1g01270.1
GWHTABKE000128	Yangtao2018625	Aveca01vR1g01280.1
GWHTABKE000129	Yangtao2018624	Aveca01vR1g01290.1
GWHTABKE000130	Yangtao2018623	Aveca01vR1g01300.1
GWHTABKE000131	Yangtao2018622	Aveca01vR1g01310.1
GWHTABKE000132	Yangtao2018621	Aveca01vR1g01320.1
GWHTABKE000133	Yangtao2018620	Aveca01vR1g01330.1
GWHTABKE000134	Yangtao2018619	Aveca01vR1g01340.1
GWHTABKE000135	Yangtao2018618	Aveca01vR1g01350.1
GWHTABKE000136	Yangtao2018617	Aveca01vR1g01360.1
GWHTABKE000137	Yangtao2018616	Aveca01vR1g01370.1
GWHTABKE000138	Yangtao2018615	Aveca01vR1g01380.1
GWHTABKE000139	Yangtao2018614	Aveca01vR1g01390.1
GWHTABKE000140	Yangtao2018613	Aveca01vR1g01400.1
GWHTABKE000141	Yangtao2018612	Aveca01vR1g01410.1
GWHTABKE000142	Yangtao2018611	Aveca01vR1g01420.1
GWHTABKE000143	Yangtao2018610	Aveca01vR1g01430.1
GWHTABKE000144	Yangtao2018609	Aveca01vR1g01440.1
GWHTABKE000145	Yangtao2018608	Aveca01vR1g01450.1
GWHTABKE000146	Yangtao2018607	Aveca01vR1g01460.1
GWHTABKE000147	Yangtao2018606	Aveca01vR1g01470.1
GWHTABKE000148	Yangtao2018605	Aveca01vR1g01480.1
GWHTABKE000149	Yangtao2018604	Aveca01vR1g01490.1
GWHTABKE000150	Yangtao2018603	Aveca01vR1g01500.1
GWHTABKE000151	Yangtao2018602	Aveca01vR1g01510.1
GWHTABKE000152	Yangtao2018601	Aveca01vR1g01520.1
